!Keysight Technologies,E4990A,MY54302532,A.03.02
!Date: Wed May 07 10:40:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+1.48774266000e+005, +3.97110747667e+002, -8.61112994111e+001
+1.48967746000e+005, +3.96646992055e+002, -8.61352962647e+001
+1.49161478000e+005, +3.96212290871e+002, -8.61398048302e+001
+1.49355462000e+005, +3.95838543974e+002, -8.61524093222e+001
+1.49549698000e+005, +3.95490054471e+002, -8.61730768737e+001
+1.49744187000e+005, +3.95076864863e+002, -8.62034615325e+001
+1.49938929000e+005, +3.94540211966e+002, -8.62274636949e+001
+1.50133924000e+005, +3.94009846728e+002, -8.62574761522e+001
+1.50329172000e+005, +3.93373059203e+002, -8.62769582351e+001
+1.50524675000e+005, +3.92792739766e+002, -8.62858442735e+001
+1.50720431000e+005, +3.92190983236e+002, -8.63087279301e+001
+1.50916443000e+005, +3.91524876613e+002, -8.63299394414e+001
+1.51112709000e+005, +3.90862414711e+002, -8.63345914062e+001
+1.51309230000e+005, +3.90253210613e+002, -8.63365173866e+001
+1.51506007000e+005, +3.89698438268e+002, -8.63456649660e+001
+1.51703040000e+005, +3.89116368922e+002, -8.63546113293e+001
+1.51900330000e+005, +3.88554915082e+002, -8.63622928724e+001
+1.52097875000e+005, +3.88049614481e+002, -8.63682384706e+001
+1.52295678000e+005, +3.87592112652e+002, -8.63862199507e+001
+1.52493738000e+005, +3.87070817344e+002, -8.64199837463e+001
+1.52692055000e+005, +3.86479566214e+002, -8.64447476099e+001
+1.52890631000e+005, +3.85755563609e+002, -8.64680668913e+001
+1.53089464000e+005, +3.85060542137e+002, -8.64831052729e+001
+1.53288557000e+005, +3.84424631057e+002, -8.65013368775e+001
+1.53487908000e+005, +3.83762264926e+002, -8.65167581978e+001
+1.53687518000e+005, +3.83117855966e+002, -8.65297211282e+001
+1.53887388000e+005, +3.82427060251e+002, -8.65354697288e+001
+1.54087518000e+005, +3.81723986539e+002, -8.65537953067e+001
+1.54287908000e+005, +3.81089968359e+002, -8.65592623613e+001
+1.54488559000e+005, +3.80491370008e+002, -8.65731316393e+001
+1.54689471000e+005, +3.79929074558e+002, -8.65906136849e+001
+1.54890644000e+005, +3.79410625795e+002, -8.66171406201e+001
+1.55092078000e+005, +3.78759910106e+002, -8.66479920023e+001
+1.55293775000e+005, +3.78027909670e+002, -8.66801321138e+001
+1.55495734000e+005, +3.77297378604e+002, -8.67043330815e+001
+1.55697955000e+005, +3.76549843983e+002, -8.67148929162e+001
+1.55900440000e+005, +3.75819402219e+002, -8.67389484198e+001
+1.56103188000e+005, +3.75078651684e+002, -8.67486169769e+001
+1.56306199000e+005, +3.74313905333e+002, -8.67632538072e+001
+1.56509475000e+005, +3.73614405693e+002, -8.67727481638e+001
+1.56713015000e+005, +3.72860757669e+002, -8.67921520253e+001
+1.56916820000e+005, +3.72081845038e+002, -8.68053761570e+001
+1.57120889000e+005, +3.71315758115e+002, -8.68216929396e+001
+1.57325224000e+005, +3.70548940608e+002, -8.68225985318e+001
+1.57529825000e+005, +3.69769936162e+002, -8.68361627896e+001
+1.57734692000e+005, +3.68988414103e+002, -8.68413730699e+001
+1.57939825000e+005, +3.68157765299e+002, -8.68475565964e+001
+1.58145225000e+005, +3.67396020172e+002, -8.68507868649e+001
+1.58350893000e+005, +3.66626012726e+002, -8.68539798766e+001
+1.58556827000e+005, +3.65845936647e+002, -8.68517540171e+001
+1.58763030000e+005, +3.65051707263e+002, -8.68584438137e+001
+1.58969500000e+005, +3.64253929998e+002, -8.68524989638e+001
+1.59176240000e+005, +3.63463850466e+002, -8.68585237604e+001
+1.59383248000e+005, +3.62664189020e+002, -8.68480682652e+001
+1.59590525000e+005, +3.61841197166e+002, -8.68491292482e+001
+1.59798072000e+005, +3.61031103131e+002, -8.68422792652e+001
+1.60005889000e+005, +3.60243369191e+002, -8.68336333658e+001
+1.60213976000e+005, +3.59466496371e+002, -8.68151356224e+001
+1.60422333000e+005, +3.58647672871e+002, -8.68036326283e+001
+1.60630962000e+005, +3.57818371649e+002, -8.67875717414e+001
+1.60839862000e+005, +3.57015056671e+002, -8.67622897985e+001
+1.61049033000e+005, +3.56231861594e+002, -8.67350852265e+001
+1.61258477000e+005, +3.55479168937e+002, -8.67099780534e+001
+1.61468193000e+005, +3.54716935241e+002, -8.66794599808e+001
+1.61678182000e+005, +3.54013677821e+002, -8.66443809734e+001
+1.61888443000e+005, +3.53313058472e+002, -8.66105800029e+001
+1.62098979000e+005, +3.52724202941e+002, -8.65934973197e+001
+1.62309788000e+005, +3.52093671722e+002, -8.65740204774e+001
+1.62520871000e+005, +3.51477678788e+002, -8.65675439173e+001
+1.62732229000e+005, +3.50773048906e+002, -8.65703632389e+001
+1.62943861000e+005, +3.49979749462e+002, -8.65479961856e+001
+1.63155769000e+005, +3.49275091186e+002, -8.65307775309e+001
+1.63367952000e+005, +3.48606754052e+002, -8.65281045186e+001
+1.63580412000e+005, +3.47791422218e+002, -8.65181381922e+001
+1.63793147000e+005, +3.47002320318e+002, -8.64814574549e+001
+1.64006160000e+005, +3.46346767620e+002, -8.64459801295e+001
+1.64219449000e+005, +3.45716302641e+002, -8.64198764810e+001
+1.64433016000e+005, +3.45081583372e+002, -8.63924556973e+001
+1.64646860000e+005, +3.44509192549e+002, -8.63615764977e+001
+1.64860983000e+005, +3.43956394422e+002, -8.63361411051e+001
+1.65075384000e+005, +3.43541651849e+002, -8.63164409899e+001
+1.65290064000e+005, +3.43020118042e+002, -8.63241304099e+001
+1.65505023000e+005, +3.42544661028e+002, -8.63331958818e+001
+1.65720261000e+005, +3.42036943322e+002, -8.63645968344e+001
+1.65935780000e+005, +3.41399509937e+002, -8.64121619921e+001
+1.66151579000e+005, +3.40621809775e+002, -8.64469153955e+001
+1.66367658000e+005, +3.39766377396e+002, -8.64786941261e+001
+1.66584018000e+005, +3.38844348130e+002, -8.65059589920e+001
+1.66800660000e+005, +3.37897139245e+002, -8.65151261221e+001
+1.67017584000e+005, +3.36926793464e+002, -8.65116086536e+001
+1.67234790000e+005, +3.36006650919e+002, -8.65016627359e+001
+1.67452278000e+005, +3.35052620023e+002, -8.64814680878e+001
+1.67670049000e+005, +3.34113870199e+002, -8.64550086228e+001
+1.67888103000e+005, +3.33202038255e+002, -8.64265746661e+001
+1.68106441000e+005, +3.32272073646e+002, -8.63826508012e+001
+1.68325062000e+005, +3.31352737631e+002, -8.63328680089e+001
+1.68543968000e+005, +3.30615207610e+002, -8.62679191274e+001
+1.68763159000e+005, +3.29932191306e+002, -8.62210971440e+001
+1.68982635000e+005, +3.29206547473e+002, -8.61861236963e+001
+1.69202396000e+005, +3.28416857105e+002, -8.61510731025e+001
+1.69422443000e+005, +3.27645273950e+002, -8.61017302956e+001
+1.69642776000e+005, +3.26961569793e+002, -8.60532882733e+001
+1.69863396000e+005, +3.26245370479e+002, -8.60172101681e+001
+1.70084303000e+005, +3.25546236451e+002, -8.59749116809e+001
+1.70305497000e+005, +3.24805351704e+002, -8.59372190959e+001
+1.70526978000e+005, +3.24041433732e+002, -8.58998892265e+001
+1.70748748000e+005, +3.23255048159e+002, -8.58421345095e+001
+1.70970806000e+005, +3.22549758611e+002, -8.57869485480e+001
+1.71193153000e+005, +3.21845033079e+002, -8.57360126791e+001
+1.71415789000e+005, +3.21148385786e+002, -8.56819982752e+001
+1.71638714000e+005, +3.20477017330e+002, -8.56253307280e+001
+1.71861930000e+005, +3.19821502309e+002, -8.55643181848e+001
+1.72085436000e+005, +3.19210354968e+002, -8.55088546750e+001
+1.72309232000e+005, +3.18590826365e+002, -8.54546412455e+001
+1.72533319000e+005, +3.17962061917e+002, -8.53995706335e+001
+1.72757698000e+005, +3.17376695984e+002, -8.53488259724e+001
+1.72982369000e+005, +3.16713468066e+002, -8.53102853689e+001
+1.73207332000e+005, +3.16046296521e+002, -8.52434592300e+001
+1.73432587000e+005, +3.15494144344e+002, -8.51682547522e+001
+1.73658136000e+005, +3.15047476110e+002, -8.51046735535e+001
+1.73883977000e+005, +3.14627300500e+002, -8.50697951510e+001
+1.74110113000e+005, +3.14020703396e+002, -8.50312616421e+001
+1.74336542000e+005, +3.13509411295e+002, -8.49570036796e+001
+1.74563266000e+005, +3.13288015802e+002, -8.48761112057e+001
+1.74790285000e+005, +3.13232796342e+002, -8.48536342149e+001
+1.75017599000e+005, +3.12957745520e+002, -8.48814873708e+001
+1.75245209000e+005, +3.12456152563e+002, -8.49043019327e+001
+1.75473114000e+005, +3.11940140738e+002, -8.48939799405e+001
+1.75701316000e+005, +3.11487577487e+002, -8.48909723997e+001
+1.75929815000e+005, +3.11000068586e+002, -8.48858990948e+001
+1.76158611000e+005, +3.10496519200e+002, -8.48657676872e+001
+1.76387705000e+005, +3.10158619339e+002, -8.48479678498e+001
+1.76617096000e+005, +3.09972721694e+002, -8.48716290763e+001
+1.76846786000e+005, +3.09619426841e+002, -8.49431808250e+001
+1.77076775000e+005, +3.08958176295e+002, -8.50143875854e+001
+1.77307062000e+005, +3.08171541258e+002, -8.50408930994e+001
+1.77537649000e+005, +3.07456203065e+002, -8.50561069769e+001
+1.77768536000e+005, +3.06874407750e+002, -8.50706161501e+001
+1.77999723000e+005, +3.06243631321e+002, -8.51136791725e+001
+1.78231211000e+005, +3.05469131205e+002, -8.51679735316e+001
+1.78463000000e+005, +3.04555567594e+002, -8.51930545793e+001
+1.78695091000e+005, +3.03605836270e+002, -8.52040049800e+001
+1.78927483000e+005, +3.02697010398e+002, -8.51927158957e+001
+1.79160177000e+005, +3.01849791546e+002, -8.51674877766e+001
+1.79393174000e+005, +3.01157178338e+002, -8.51480350173e+001
+1.79626475000e+005, +3.00519938068e+002, -8.51633862260e+001
+1.79860078000e+005, +2.99783002705e+002, -8.52075841514e+001
+1.80093985000e+005, +2.98823158779e+002, -8.52513234917e+001
+1.80328197000e+005, +2.97708700594e+002, -8.52639050145e+001
+1.80562713000e+005, +2.96590693500e+002, -8.52536894329e+001
+1.80797534000e+005, +2.95472327419e+002, -8.52131492262e+001
+1.81032660000e+005, +2.94483545839e+002, -8.51383254710e+001
+1.81268093000e+005, +2.93680631364e+002, -8.50910416153e+001
+1.81503831000e+005, +2.92866359476e+002, -8.50686042553e+001
+1.81739876000e+005, +2.91933063170e+002, -8.50473013573e+001
+1.81976228000e+005, +2.90953013091e+002, -8.50042283061e+001
+1.82212887000e+005, +2.90053277871e+002, -8.49459961431e+001
+1.82449854000e+005, +2.89254568430e+002, -8.48980561433e+001
+1.82687130000e+005, +2.88452459187e+002, -8.48594897583e+001
+1.82924714000e+005, +2.87593908664e+002, -8.48395240013e+001
+1.83162606000e+005, +2.86649572524e+002, -8.47989148878e+001
+1.83400809000e+005, +2.85645309729e+002, -8.47355894875e+001
+1.83639321000e+005, +2.84843033561e+002, -8.46406530570e+001
+1.83878143000e+005, +2.84169663148e+002, -8.45633716730e+001
+1.84117276000e+005, +2.83512910296e+002, -8.44978952160e+001
+1.84356719000e+005, +2.82873701771e+002, -8.44485983697e+001
+1.84596474000e+005, +2.82226039029e+002, -8.43974028585e+001
+1.84836541000e+005, +2.81718970534e+002, -8.43497246086e+001
+1.85076921000e+005, +2.81171089630e+002, -8.43387517262e+001
+1.85317612000e+005, +2.80553762789e+002, -8.43345745726e+001
+1.85558617000e+005, +2.79872966696e+002, -8.43418063007e+001
+1.85799935000e+005, +2.79146425533e+002, -8.43436025116e+001
+1.86041567000e+005, +2.78477195486e+002, -8.43544303383e+001
+1.86283514000e+005, +2.77757214312e+002, -8.43959348184e+001
+1.86525775000e+005, +2.76899211138e+002, -8.44519282533e+001
+1.86768351000e+005, +2.75850179478e+002, -8.45193290025e+001
+1.87011242000e+005, +2.74569357004e+002, -8.45692361417e+001
+1.87254449000e+005, +2.73175176694e+002, -8.45790280200e+001
+1.87497973000e+005, +2.71727701463e+002, -8.45533652924e+001
+1.87741813000e+005, +2.70373247802e+002, -8.44771623213e+001
+1.87985971000e+005, +2.69720587136e+002, -8.46031441778e+001
+1.88230446000e+005, +2.68155327054e+002, -8.45853808790e+001
+1.88475239000e+005, +2.66616011926e+002, -8.45294889758e+001
+1.88720350000e+005, +2.65085066035e+002, -8.44453233342e+001
+1.88965780000e+005, +2.63536858460e+002, -8.43400099831e+001
+1.89211529000e+005, +2.62044318280e+002, -8.41987927217e+001
+1.89457598000e+005, +2.60606635679e+002, -8.40421926693e+001
+1.89703987000e+005, +2.59230704161e+002, -8.38638675856e+001
+1.89950696000e+005, +2.58002342446e+002, -8.36717010412e+001
+1.90197726000e+005, +2.56766001777e+002, -8.34833832951e+001
+1.90445078000e+005, +2.55526528219e+002, -8.32884418214e+001
+1.90692751000e+005, +2.54271041992e+002, -8.30720068801e+001
+1.90940746000e+005, +2.53050115061e+002, -8.28185849405e+001
+1.91189064000e+005, +2.51998116944e+002, -8.25248699632e+001
+1.91437704000e+005, +2.51145850718e+002, -8.22154588152e+001
+1.91686668000e+005, +2.50436968728e+002, -8.19180193918e+001
+1.91935956000e+005, +2.49869989545e+002, -8.16035666927e+001
+1.92185568000e+005, +2.49559363540e+002, -8.12940801594e+001
+1.92435504000e+005, +2.49427732388e+002, -8.10320191128e+001
+1.92685766000e+005, +2.49285538516e+002, -8.08171251277e+001
+1.92936353000e+005, +2.49218143100e+002, -8.06133687070e+001
+1.93187266000e+005, +2.49237903308e+002, -8.04824951216e+001
+1.93438505000e+005, +2.49128106826e+002, -8.04151585983e+001
+1.93690071000e+005, +2.48773653264e+002, -8.03738879288e+001
+1.93941964000e+005, +2.48264642233e+002, -8.03398998947e+001
+1.94194185000e+005, +2.47594162512e+002, -8.02960109991e+001
+1.94446734000e+005, +2.46854519449e+002, -8.02321549255e+001
+1.94699611000e+005, +2.46114655196e+002, -8.01773816735e+001
+1.94952817000e+005, +2.45218789795e+002, -8.01384248284e+001
+1.95206352000e+005, +2.44172580501e+002, -8.00931277169e+001
+1.95460217000e+005, +2.42976605870e+002, -8.00272019863e+001
+1.95714412000e+005, +2.41703421423e+002, -7.99382292071e+001
+1.95968938000e+005, +2.40233780487e+002, -7.98172639479e+001
+1.96223795000e+005, +2.38694615096e+002, -7.96249922905e+001
+1.96478983000e+005, +2.37389640931e+002, -7.93718564134e+001
+1.96734503000e+005, +2.36308471823e+002, -7.91498002162e+001
+1.96990356000e+005, +2.35037925591e+002, -7.89736071633e+001
+1.97246541000e+005, +2.33549933236e+002, -7.87599920447e+001
+1.97503059000e+005, +2.31948674975e+002, -7.85159818851e+001
+1.97759911000e+005, +2.30077901883e+002, -7.81791735845e+001
+1.98017097000e+005, +2.28355816595e+002, -7.77012109037e+001
+1.98274617000e+005, +2.27045836510e+002, -7.71415870356e+001
+1.98532473000e+005, +2.26008472463e+002, -7.65668277976e+001
+1.98790663000e+005, +2.25437191694e+002, -7.59146114575e+001
+1.99049190000e+005, +2.26032250796e+002, -7.53200103272e+001
+1.99308053000e+005, +2.26546702032e+002, -7.52629389211e+001
+1.99567252000e+005, +2.24244711377e+002, -7.48968057328e+001
+1.99826788000e+005, +2.24397210205e+002, -7.42657968098e+001
+2.00086662000e+005, +2.23417521678e+002, -7.39100936889e+001
+2.00346874000e+005, +2.22769374188e+002, -7.32722300453e+001
+2.00607424000e+005, +2.22223636032e+002, -7.27320070124e+001
+2.00868313000e+005, +2.21667602097e+002, -7.21264380334e+001
+2.01129542000e+005, +2.20283051503e+002, -7.13717188268e+001
+2.01391110000e+005, +2.21776530542e+002, -7.01898756117e+001
+2.01653018000e+005, +2.21602402753e+002, -7.00906842153e+001
+2.01915267000e+005, +2.20685193402e+002, -6.82609191600e+001
+2.02177857000e+005, +2.24760266834e+002, -6.74326328638e+001
+2.02440789000e+005, +2.27438356376e+002, -6.68381371584e+001
+2.02704062000e+005, +2.30015382612e+002, -6.61560335009e+001
+2.02967678000e+005, +2.34018940769e+002, -6.55345479399e+001
+2.03231637000e+005, +2.38728201476e+002, -6.53803363480e+001
+2.03495938000e+005, +2.42012513261e+002, -6.56259253523e+001
+2.03760584000e+005, +2.43569980417e+002, -6.56911897231e+001
+2.04025574000e+005, +2.45190183169e+002, -6.54295009136e+001
+2.04290908000e+005, +2.48258706822e+002, -6.50209722225e+001
+2.04556588000e+005, +2.52959320458e+002, -6.48781716844e+001
+2.04822613000e+005, +2.57681340830e+002, -6.52545923762e+001
+2.05088984000e+005, +2.60477832982e+002, -6.57529983831e+001
+2.05355701000e+005, +2.63064851791e+002, -6.60866897695e+001
+2.05622765000e+005, +2.65788968226e+002, -6.64661847002e+001
+2.05890177000e+005, +2.69075944566e+002, -6.68887928469e+001
+2.06157936000e+005, +2.72522923073e+002, -6.76374249094e+001
+2.06426044000e+005, +2.74918519155e+002, -6.86709420326e+001
+2.06694500000e+005, +2.75421435992e+002, -6.99002949542e+001
+2.06963305000e+005, +2.73297589081e+002, -7.10839087660e+001
+2.07232460000e+005, +2.69354920597e+002, -7.16905724109e+001
+2.07501965000e+005, +2.66764491932e+002, -7.17687821516e+001
+2.07771821000e+005, +2.65534920135e+002, -7.19073779647e+001
+2.08042027000e+005, +2.64169578616e+002, -7.20981324438e+001
+2.08312585000e+005, +2.62702203656e+002, -7.21875775409e+001
+2.08583495000e+005, +2.61638560658e+002, -7.22300047867e+001
+2.08854756000e+005, +2.60497318958e+002, -7.22384058499e+001
+2.09126371000e+005, +2.59641545459e+002, -7.21054421641e+001
+2.09398339000e+005, +2.60086749737e+002, -7.19072067770e+001
+2.09670661000e+005, +2.61265157706e+002, -7.20727155439e+001
+2.09943337000e+005, +2.61136036945e+002, -7.24363962762e+001
+2.10216367000e+005, +2.60246363514e+002, -7.26920583831e+001
+2.10489753000e+005, +2.59475445184e+002, -7.27909028383e+001
+2.10763494000e+005, +2.59357425478e+002, -7.29100433665e+001
+2.11037591000e+005, +2.59091542546e+002, -7.31833295290e+001
+2.11312044000e+005, +2.58219299160e+002, -7.34842289140e+001
+2.11586855000e+005, +2.57031690462e+002, -7.37458228282e+001
+2.11862023000e+005, +2.55492190982e+002, -7.39599832670e+001
+2.12137548000e+005, +2.53611428217e+002, -7.40374162751e+001
+2.12413432000e+005, +2.52346423557e+002, -7.39396231452e+001
+2.12689675000e+005, +2.51867672448e+002, -7.39604038311e+001
+2.12966277000e+005, +2.50908044507e+002, -7.41001611397e+001
+2.13243239000e+005, +2.49779050903e+002, -7.41435782309e+001
+2.13520561000e+005, +2.48748148922e+002, -7.41663956597e+001
+2.13798243000e+005, +2.47919745910e+002, -7.41563934719e+001
+2.14076287000e+005, +2.47377642992e+002, -7.42322100873e+001
+2.14354693000e+005, +2.46345728243e+002, -7.43963402149e+001
+2.14633460000e+005, +2.44844845122e+002, -7.44913496598e+001
+2.14912590000e+005, +2.43254399631e+002, -7.44887229727e+001
+2.15192083000e+005, +2.41926466006e+002, -7.43881448702e+001
+2.15471939000e+005, +2.41116756288e+002, -7.43622136579e+001
+2.15752160000e+005, +2.39665140305e+002, -7.44446683272e+001
+2.16032744000e+005, +2.37810292406e+002, -7.42955572526e+001
+2.16313694000e+005, +2.36884076772e+002, -7.40512014767e+001
+2.16595009000e+005, +2.36240296992e+002, -7.39559145641e+001
+2.16876690000e+005, +2.35290087308e+002, -7.38739916986e+001
+2.17158737000e+005, +2.34532553021e+002, -7.37098729263e+001
+2.17441151000e+005, +2.34543028833e+002, -7.35752393340e+001
+2.17723933000e+005, +2.34809920300e+002, -7.37039057686e+001
+2.18007082000e+005, +2.34177530748e+002, -7.40394354680e+001
+2.18290599000e+005, +2.32440386441e+002, -7.42928063958e+001
+2.18574485000e+005, +2.30310968764e+002, -7.44170035366e+001
+2.18858740000e+005, +2.27802277889e+002, -7.43938256944e+001
+2.19143365000e+005, +2.25391638591e+002, -7.40940860809e+001
+2.19428360000e+005, +2.24426286961e+002, -7.36600418845e+001
+2.19713726000e+005, +2.24231760801e+002, -7.35068963728e+001
+2.19999463000e+005, +2.23726865083e+002, -7.35845358749e+001
+2.20285571000e+005, +2.22326365670e+002, -7.37655830722e+001
+2.20572052000e+005, +2.20346475317e+002, -7.38180254129e+001
+2.20858905000e+005, +2.18211311343e+002, -7.38556646065e+001
+2.21146131000e+005, +2.15244743670e+002, -7.37159838699e+001
+2.21433730000e+005, +2.12724930075e+002, -7.32935086749e+001
+2.21721704000e+005, +2.10409392715e+002, -7.28371397130e+001
+2.22010052000e+005, +2.08241664723e+002, -7.21602291682e+001
+2.22298775000e+005, +2.07130545708e+002, -7.13634067937e+001
+2.22587874000e+005, +2.06938724130e+002, -7.07048795266e+001
+2.22877349000e+005, +2.06902309609e+002, -7.02129425829e+001
+2.23167200000e+005, +2.06830837328e+002, -6.97838530312e+001
+2.23457428000e+005, +2.06803242198e+002, -6.94051800684e+001
+2.23748033000e+005, +2.06813916563e+002, -6.90862196415e+001
+2.24039016000e+005, +2.06779361036e+002, -6.88577725181e+001
+2.24330378000e+005, +2.06324187779e+002, -6.86383768470e+001
+2.24622119000e+005, +2.06104372936e+002, -6.83776371790e+001
+2.24914239000e+005, +2.05969171552e+002, -6.82556410701e+001
+2.25206739000e+005, +2.05276409817e+002, -6.82285642605e+001
+2.25499620000e+005, +2.04119202627e+002, -6.82108168179e+001
+2.25792881000e+005, +2.02247482526e+002, -6.80835848069e+001
+2.26086524000e+005, +2.00415169705e+002, -6.75825779544e+001
+2.26380548000e+005, +2.00080875802e+002, -6.69396238629e+001
+2.26674955000e+005, +2.00617254874e+002, -6.66794866483e+001
+2.26969745000e+005, +2.00283903166e+002, -6.67072473535e+001
+2.27264918000e+005, +1.99102629220e+002, -6.66579031299e+001
+2.27560475000e+005, +1.97637850693e+002, -6.64873504346e+001
+2.27856417000e+005, +1.96081994169e+002, -6.62641204761e+001
+2.28152743000e+005, +1.94150244609e+002, -6.60058351298e+001
+2.28449455000e+005, +1.91818804546e+002, -6.55438223932e+001
+2.28746552000e+005, +1.89765352101e+002, -6.47865006401e+001
+2.29044036000e+005, +1.88766131367e+002, -6.40530529626e+001
+2.29341907000e+005, +1.87700394028e+002, -6.35201979416e+001
+2.29640165000e+005, +1.86216123433e+002, -6.29534236640e+001
+2.29938812000e+005, +1.84588872759e+002, -6.21992921187e+001
+2.30237846000e+005, +1.83616104803e+002, -6.13241773091e+001
+2.30537269000e+005, +1.82979528445e+002, -6.06120360729e+001
+2.30837082000e+005, +1.81926877547e+002, -5.99653136136e+001
+2.31137285000e+005, +1.80528033179e+002, -5.91224115905e+001
+2.31437878000e+005, +1.79613476305e+002, -5.80518867200e+001
+2.31738862000e+005, +1.79369894485e+002, -5.70291634902e+001
+2.32040237000e+005, +1.79136884046e+002, -5.62341370038e+001
+2.32342005000e+005, +1.77840484132e+002, -5.53985322457e+001
+2.32644165000e+005, +1.76425828806e+002, -5.40726200437e+001
+2.32946717000e+005, +1.76216251545e+002, -5.25265714264e+001
+2.33249664000e+005, +1.76597572430e+002, -5.11501031459e+001
+2.33553004000e+005, +1.76681131045e+002, -4.98323892743e+001
+2.33856738000e+005, +1.76143104876e+002, -4.83774079222e+001
+2.34160868000e+005, +1.75341634043e+002, -4.63436488534e+001
+2.34465393000e+005, +1.75933782227e+002, -4.36530308619e+001
+2.34770315000e+005, +1.79190469477e+002, -4.07323782662e+001
+2.35075633000e+005, +1.85057525214e+002, -3.81316267581e+001
+2.35381347000e+005, +1.92679274907e+002, -3.59782730493e+001
+2.35687460000e+005, +2.01749891923e+002, -3.43219725230e+001
+2.35993970000e+005, +2.11845997547e+002, -3.30627831802e+001
+2.36300880000e+005, +2.23449771481e+002, -3.21761965906e+001
+2.36608188000e+005, +2.36834078312e+002, -3.18383333713e+001
+2.36915896000e+005, +2.51291980832e+002, -3.23194116347e+001
+2.37224004000e+005, +2.64912557583e+002, -3.35963029060e+001
+2.37532513000e+005, +2.76512511670e+002, -3.53292968577e+001
+2.37841423000e+005, +2.86374687532e+002, -3.73810888870e+001
+2.38150735000e+005, +2.93109587627e+002, -3.97929106993e+001
+2.38460449000e+005, +2.95937346788e+002, -4.21169333572e+001
+2.38770566000e+005, +2.96455848524e+002, -4.40115076832e+001
+2.39081086000e+005, +2.96559800019e+002, -4.55410184504e+001
+2.39392010000e+005, +2.96017865616e+002, -4.69183034901e+001
+2.39703338000e+005, +2.94988871565e+002, -4.80277853732e+001
+2.40015071000e+005, +2.94747953362e+002, -4.89848311509e+001
+2.40327210000e+005, +2.94037204758e+002, -5.01084408218e+001
+2.40639754000e+005, +2.90725287275e+002, -5.11069585300e+001
+2.40952705000e+005, +2.88542104408e+002, -5.15722960791e+001
+2.41266063000e+005, +2.89189693212e+002, -5.21048975775e+001
+2.41579829000e+005, +2.89663687004e+002, -5.30023434815e+001
+2.41894003000e+005, +2.88490288835e+002, -5.40650040886e+001
+2.42208585000e+005, +2.85073949028e+002, -5.50274726429e+001
+2.42523576000e+005, +2.80757444169e+002, -5.56336146702e+001
+2.42838977000e+005, +2.76769554494e+002, -5.59319273188e+001
+2.43154788000e+005, +2.74022505220e+002, -5.61711135680e+001
+2.43471010000e+005, +2.71210723015e+002, -5.65487064348e+001
+2.43787643000e+005, +2.67646360009e+002, -5.69033130681e+001
+2.44104688000e+005, +2.63278163915e+002, -5.71467906636e+001
+2.44422145000e+005, +2.58449323574e+002, -5.71524384055e+001
+2.44740015000e+005, +2.53560248305e+002, -5.69254724929e+001
+2.45058298000e+005, +2.48737223357e+002, -5.63919861776e+001
+2.45376995000e+005, +2.44702478374e+002, -5.56219698182e+001
+2.45696107000e+005, +2.41439230260e+002, -5.47293735455e+001
+2.46015634000e+005, +2.38603211905e+002, -5.37768229355e+001
+2.46335576000e+005, +2.35895710147e+002, -5.26368034341e+001
+2.46655935000e+005, +2.34128837034e+002, -5.12583730474e+001
+2.46976710000e+005, +2.33692283861e+002, -4.98728428745e+001
+2.47297902000e+005, +2.33697333059e+002, -4.85488239595e+001
+2.47619512000e+005, +2.34400408427e+002, -4.71748529117e+001
+2.47941540000e+005, +2.35143694974e+002, -4.58679242152e+001
+2.48263987000e+005, +2.35439882592e+002, -4.41591222241e+001
+2.48586853000e+005, +2.38046447646e+002, -4.18867472458e+001
+2.48910139000e+005, +2.43550425524e+002, -3.98486812744e+001
+2.49233846000e+005, +2.51057925487e+002, -3.78260664385e+001
+2.49557974000e+005, +2.61799848977e+002, -3.59989109007e+001
+2.49882523000e+005, +2.76233877209e+002, -3.48384180503e+001
+2.50207494000e+005, +2.92909718033e+002, -3.46898600912e+001
+2.50532888000e+005, +3.09191959637e+002, -3.55730676166e+001
+2.50858705000e+005, +3.22510210452e+002, -3.72141722043e+001
+2.51184945000e+005, +3.30738610856e+002, -3.90365807606e+001
+2.51511610000e+005, +3.35418590114e+002, -4.05382185144e+001
+2.51838700000e+005, +3.38109631407e+002, -4.15708521893e+001
+2.52166215000e+005, +3.40743107273e+002, -4.19518135319e+001
+2.52494157000e+005, +3.46742724382e+002, -4.17660869942e+001
+2.52822524000e+005, +3.58278602705e+002, -4.18802201835e+001
+2.53151319000e+005, +3.70612789712e+002, -4.28479578406e+001
+2.53480541000e+005, +3.80496473528e+002, -4.41995834019e+001
+2.53810191000e+005, +3.89237784867e+002, -4.55194059308e+001
+2.54140271000e+005, +3.98294256942e+002, -4.70775646217e+001
+2.54470779000e+005, +4.05234621396e+002, -4.88929132635e+001
+2.54801717000e+005, +4.10662239361e+002, -5.06458084207e+001
+2.55133086000e+005, +4.16034790247e+002, -5.25822051852e+001
+2.55464885000e+005, +4.18644314271e+002, -5.47492728219e+001
+2.55797116000e+005, +4.17962626356e+002, -5.68813475554e+001
+2.56129779000e+005, +4.15250942007e+002, -5.87072255614e+001
+2.56462875000e+005, +4.12877126266e+002, -6.04222260480e+001
+2.56796404000e+005, +4.08864476496e+002, -6.22808908633e+001
